Registration__c,Aircraft_Model__c
C-FASP,Citation CJ2+
C-FASR,Citation CJ2+
C-FASW,Citation CJ2+
C-FIAS,Citation CJ2+
C-GASR,Citation CJ2+
C-GZAS,Citation CJ2+
C-FASY,Citation CJ3+
C-FNAS,Citation CJ3+
C-FSDN,Citation CJ3+
C-FSEF,Citation CJ3+
C-FSFO,Citation CJ3+
C-FSFP,Citation CJ3+
C-FSFS,Citation CJ3+
C-FSNP,Citation CJ3+
C-FSQX,Citation CJ3+
C-FSRY,Citation CJ3+
C-FSUP,Citation CJ3+
C-GAAS,Citation CJ3+
C-GASW,Citation CJ3+
C-GFFS,Citation CJ3+
C-GFSD,Citation CJ3+
C-GFSJ,Citation CJ3+
C-GFSX,Citation CJ3+
C-GNAS,Citation CJ3+
C-FASF,Legacy 450
C-FJAS,Legacy 450
C-FLAS,Legacy 450
C-GASE,Legacy 450
C-GASK,Legacy 450
C-GASL,Legacy 450
C-FSJR,Legacy 500
C-FSNY,Legacy 500
C-FSRX,Legacy 500
C-FASQ,Praetor 500
C-FASV,Praetor 500
C-FSBR,Praetor 500
C-FSYX,Praetor 500
C-GBAS,Praetor 500
C-GXAS,Praetor 500
C-FSDO,Praetor 600
