Opportunity__c,Name,AccountId,Ownership__c,Annual_Hours__c
,FNAS,001OF00000IGTLUYA5,0.015,125
,GFSD,001OF00000IfKIFYA3,0.025,125
0061G00000JgBF9QAN,GAAS,001OF00000JN4nzYAD,0.0312,125
,GZAS,001OF00000IkA5HYAV,0.015,75
0061G00000FfrLYQAZ,GZAS,001OF00000IiTX3YAN,0.09,75
,GASK,0011G00000vuKQCQA2,0.0312,25
0061G00000LRMmLQAX,GASK,001OF00000IsolUYAR,0.03125,25
,FIAS,001OF00000JQeDQYA1,0.03125,25
,FSUP,001OF00000JN4nzYAD,0.03125,25
0061G00000Feod6QAB,GASR,001OF00000INEPhYAP,0.03125,25
0061G00000I5b5AQAR,FASR,001OF00000IfpYsYAJ,0.03125,25
0061G00000FfsTHQAZ,FIAS,001OF00000IkA5HYAV,0.09,75
0061G00000FfsTHQAZ,FSUP,001OF00000IfpYsYAJ,0.09,75
,FASW,001OF00000IkA5HYAV,0.09,25
,GASR,001OF00000IhzM4YAJ,0.09,25
0061G00000IY84JQAT,FASY,001OF00000Ip5kvYAB,0.09,25
0061G00000J85WPQAZ,FASW,001OF00000Ioq13YAB,0.03125,50
0061G00000JjVlGQAV,FASR,001OF00000Ip5kvYAB,0.03125,25
,GXAS,001OF00000IkA5HYAV,0.015,50
0061G00000HZAENQA5,FIAS,001OF00000IfpYsYAJ,0.015,50
0061G00000HWC3fQAH,FASY,001OF00000IkAtGYAV,0.015,25
0061G00000I4608QAB,FASY,001OF00000IfKIFYA3,0.03125,25
0061G00000ON5o7QAD,FSBR,001OF00000INEPhYAP,0.03125,25
0061G00000P1VyIQAV,FASQ,001OF00000IhzM4YAJ,0.03125,25
0061G00000JjVxlQAF,GASR,001OF00000IMTqfYAH,0.03125,25
0061G00000QAJFBQA5,GXAS,001OF00000IkAtGYAV,0.03125,25
006OF00000Exm5NYAR,FASV,001OF00000IhzM4YAJ,0.03125,25
0061G00000NvfgDQAR,GXAS,001OF00000IdyEuYAJ,0.015,50
0061G00000Hli6KQAR,GASE,001OF00000INEPhYAP,0.015,37.5
0061G00000J88wkQAB,GASE,001OF00000JN4nzYAD,0.015,12.5
0061G00000PPAhoQAH,GXAS,001OF00000IfpYsYAJ,0.03125,12.5
0061G00000I3ujgQAB,FASY,001OF00000Ioq13YAB,0.03125,25
0061G00000I4QRTQA3,FASW,001OF00000ImOlgYAF,0.03125,25
0061G00000OvCGdQAN,GFSX,001OF00000IfpYsYAJ,0.09,25
0061G00000QGBA2QAP,FSFP,001OF00000Ioq13YAB,0.012,25
0061G00000I5bDTQAZ,GZAS,001OF00000Ip5kvYAB,0.012,25
0061G00000ONKfqQAH,FSNP,001OF00000IiTX3YAN,0.015,50
0061G00000PiHuXQAV,GXAS,0011G00000vibZ3QAI,0.015,75
0061G00000IDdo5QAD,FASY,001OF00000IsolUYAR,0.03125,25
0061G00000LSszLQAT,GASR,001OF00000IGTLUYA5,0.09,25
0061G00000NcawPQAR,GNAS,001OF00000INEPhYAP,0.09,25
0061G00000IDkFgQAL,FASR,001OF00000JQeDQYA1,0.09,25
0061G00000Nvu6pQAB,FSFS,0011G00000vibZ3QAI,0.09,12.5
0061G00000IF6Z3QAL,GASW,001OF00000IfpYsYAJ,0.03125,50
0061G00000IFEH2QAP,FASY,0011G00000vibZ3QAI,0.03125,25
006OF00000CSQK4YAP,FASV,001OF00000IMTqfYAH,0.015,25
0061G00000IFLb0QAH,GZAS,001OF00000INEPhYAP,0.015,25
0061G00000OMJQ2QAP,FSBR,001OF00000IhzM4YAJ,0.015,25
,FASY,001OF00000IVUNgYAP,0.015,37.5
0061G00000I5YLoQAN,FASY,001OF00000IGTLUYA5,0.09,50
0061G00000NeTzVQAV,FASR,001OF00000IMTqfYAH,0.03125,25
0061G00000IWeDhQAL,GAAS,001OF00000IVUNgYAP,0.03125,25
0061G00000LRHdrQAH,GASR,001OF00000IsolUYAR,0.03125,25
0061G00000LSUGSQA5,GASR,001OF00000IfKIFYA3,0.03125,25
0061G00000IXrleQAD,FASF,001OF00000IhzM4YAJ,0.03125,25
0061G00000JHISOQA5,FASF,0011G00000vibZ3QAI,0.0312,25
0061G00000IZYLPQA5,GBAS,001OF00000ImHvVYAV,0.03125,25
0061G00000LSKcHQAX,GASR,001OF00000ImHvVYAV,0.03125,25
,GCXL,001OF00000JQeDQYA1,0.03125,25
0061G00000POWxvQAH,GXAS,001OF00000ImOlgYAF,0.03125,25
0061G00000IZp4PQAT,GASR,001OF00000IfpYsYAJ,0.03125,50
0061G00000IZXsrQAH,GASW,001OF00000IkAtGYAV,0.09,25
0061G00000NdOzwQAF,GBAS,001OF00000INEPhYAP,0.09,62.5
0061G00000HLWqrQAH,GAAS,001OF00000ImHvVYAV,0.09,25
0061G00000IZvmaQAD,GASK,001OF00000IfKIFYA3,0.09,50
0061G00000IaI4rQAF,GAAS,001OF00000IkAtGYAV,0.09,50
0061G00000NvdklQAB,FLAS,0011G00000vibZ3QAI,0.03125,25
006OF00000D1uNHYAZ,GXAS,001OF00000IVUNgYAP,0.0312,25
,FASV,001OF00000IGTLUYA5,0.03125,25
,FSYX,001OF00000IVUNgYAP,0.03125,25
,GASR,0011G00000vibZ3QAI,0.03125,25
0061G00000IaK4sQAF,GASR,001OF00000Ip5kvYAB,0.03125,50
0061G00000PMWF0QAP,FSYX,001OF00000INEPhYAP,0.03125,50
0061G00000PkwJMQAZ,GXAS,001OF00000IhzM4YAJ,0.09,25
006OF000002WhohYAC,FASV,001OF00000IsolUYAR,0.09,50
0061G00000IZpDgQAL,GAAS,001OF00000IdyEuYAJ,0.09,25
,GBAS,001OF00000IiTX3YAN,0.09,62.5
0061G00000LSfttQAD,GASE,001OF00000IGTLUYA5,0.09,37.5
0061G00000OOF02QAH,FSBR,001OF00000IiTX3YAN,0.03125,12.5
0061G00000J46zdQAB,FSRX,001OF00000IGTLUYA5,0.09,25
0061G00000J46zdQAB,GASK,001OF00000IfpYsYAJ,0.09,25
,FIAS,001OF00000IfKIFYA3,0.09,25
,FSUP,001OF00000IfKIFYA3,0.09,25
0061G00000J477NQAR,GASR,001OF00000IiTX3YAN,0.03125,25
,FNAS,001OF00000IdyEuYAJ,0.0312,25
,FSFS,001OF00000IGTLUYA5,0.03125,100
,FSQX,001OF00000IVUNgYAP,0.03125,25
0061G00000J6IK6QAN,FIAS,001OF00000IkAtGYAV,0.03125,25
0061G00000NcaxwQAB,GNAS,001OF00000IGTLUYA5,0.03125,25
0061G00000Nu6QxQAJ,FIAS,001OF00000ImOlgYAF,0.03125,50
