Id,AccountId,CreatedDate,Aircraft_Type__c,Hours__c,IsWon
006OF00000KGQPdYAP,0011G00000vibZ3QAI,3/11/2025 0:00,Citation CJ2+,25,1
006OF00000IcA45YAF,001Ho000013xNYfIAM,1/7/2024 0:00,Citation CJ3+,12.5,1
006OF00000IoB9GYAV,001OF00000DAM4dYAH,1/15/2025 0:00,Citation CJ3+,12.5,1
006OF00000IZ5IfYAL,001Ho000013tf81IAA,1/6/2025 0:00,Legacy 450,25,0
006OF00000IZrLdYAL,001OF00000I6fR8YAJ,1/6/2025 0:00,Citation CJ3+,25,1
006OF00000IZuoAYAT,001OF00000IGTLUYA5,1/6/2025 0:00,Citation CJ2+,25,1
006OF00000IfWeKYAV,001OF00000IMTqfYAH,1/9/2025 0:00,Citation CJ2+,25,0
006OF00000IoPleYAF,0011G00000vibZ3QAI,1/15/2025 0:00,Citation CJ3+,25,1
006OF00000IoULVYA3,0011G00000vibZ3QAI,4/15/2024 0:00,Legacy 500,25,1
006OF00000IqU7hYAF,0011G0000127y8WQAQ,1/16/2025 0:00,Citation CJ3+,25,0
006OF00000IvrriYAB,001OF00000IdyEuYAJ,1/19/2025 0:00,Praetor 500,25,1
006OF00000Ix8VTYAZ,0011G00000vibZ3QAI,11/20/2024 0:00,Citation CJ2+,25,1
006OF00000J3TtmYAF,001OF00000ImHvVYAV,1/23/2025 0:00,Praetor 500,25,0
006OF00000J6BqiYAF,001OF00000Ip5kvYAB,1/24/2025 0:00,Citation CJ3+,25,0
006OF00000J9c1ZYAR,0011G00000vibZ3QAI,1/27/2024 0:00,Legacy 500,25,1
006OF00000J9gI3YAJ,0011G00000fQZfhQAG,1/27/2025 0:00,Citation CJ3+,25,0
006OF00000J9kThYAJ,0011G00000kQ0frQAC,1/27/2025 0:00,Praetor 500,25,0
006OF00000J9o2gYAB,0011G00000vibZ3QAI,3/3/2025 0:00,Legacy 500,25,1
006OF00000J9oNdYAJ,001OF00000GvsVaYAJ,1/27/2025 0:00,Praetor 500,25,0
006OF00000JA9dQYAT,001OF00000ItLW7YAN,1/28/2025 0:00,Legacy 450,25,0
006OF00000JADqgYAH,001OF00000ItQSXYA3,1/28/2025 0:00,Citation CJ3+,25,0
006OF00000JAEI6YAP,001OF00000ItNBKYA3,1/28/2025 0:00,Legacy 450,25,0
006OF00000JBEKsYAP,001OF00000IuYnsYAF,1/28/2025 0:00,Citation CJ2+,25,0
006OF00000JBkNzYAL,0011G00000viJZQQA2,1/28/2025 0:00,Citation CJ3+,25,0
006OF00000JOWtRYAX,001OF00000J8FwbYAF,2/4/2025 0:00,Citation CJ3+,25,0
